Temperature,HeatIndex,WindSpeed,CloudCover,RelativeHumidity,Maximum Temperature,Minimum Temperature,Wind Direction,AQI
27.8,34,10.8,31,63.5,33,23,129.65,0
28.2,36.5,11.4,26.8,65.6,34,25,139.29,0
28.4,37,11.4,36.5,68.98,33,25,148.29,0
28.4,38.3,12.8,35.5,71.23,34,25,143.75,0
28.8,36.9,13,35,63.78,35,25,127.23,0
28.6,35.7,12.4,32.3,56.69,35,24,151.55,0
28.3,34.5,13.9,38.3,58.36,34,24,136.42,0
28.1,34.1,12.8,27.8,55.06,34,22,126.05,0
28.5,34.7,10.3,20.3,50.19,35,22,113.81,0
27.9,33.3,13.9,20.6,53.81,34,23,116.58,0
27.6,34,12.8,23.1,56.7,34,22,104.89,0
28.3,35.7,11.4,23.8,57.54,35,23.9,109.05,0
27.9,37.3,14.2,25.9,62.79,34,24,139.77,0
28.8,35.1,10.3,26.4,54.35,35,24,138.59,0
28.3,32.9,11.4,54.8,54.59,32,24,91.33,1
28.1,34.7,9.3,44.6,57.74,34,23,69.38,0
28.8,34.5,12.4,41,55.11,34,24,73.19,1
28.6,35,10.3,57.9,56.01,33.7,25,141.69,1
27.9,35.1,11.4,36.8,61.25,34,23,160.41,1
27.9,34.5,11.4,29.8,54.89,34,22,185.53,1
28.2,34.6,12.8,25.9,60.17,34,23,165.8,1
28.1,34.7,12.8,32.2,60.36,33,24,140.44,0
28.5,35.3,12.8,31.4,58.23,34,24,130.65,0
28.5,36.9,16.1,23.2,61.7,35,24,124.19,0
28.5,36.5,12.8,29.2,60.46,34,25,130.43,0
28.4,36.5,11.4,27.2,60.26,34,25,139.04,0
27.8,37.3,13.9,29.7,68.28,34,24,142.57,0
28.4,37.3,10.3,46.4,66.91,34,25,151.3,0
28.4,37,9.2,42.5,68.76,33,25.9,158.52,0
28.8,37.4,13.9,45.2,65.22,34,25.9,132.59,0
29.4,37.7,13.9,28.3,57.69,35,26,131.17,0
29,36.5,10.3,36.1,63.81,34,25.9,141.83,0
28.6,38.3,15,35.3,68.15,34,25.9,146.5,0
29,36.5,13.9,31.6,60.19,34,25.9,145.65,0
28.7,36.1,12.8,42.1,64.38,33,25.9,147.5,1
28.1,35.8,10.3,46.1,67.95,32,25.9,176.68,0
28.3,38,11.4,33.8,66.41,33.8,24.9,154.79,0
